                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Bobby Thigpen           GBP    cl  24   0   0  .000   0   0  .000     0   0.0   20    5  .250   16.9  .604 
Mark Thurmond*          CCC    mr  31   0   0  .000   0   0  .000     0   0.0    6    3  .500   15.5  .677 
Jay Tibbs               BMB    sp  26  14   1  .071   1   6  .429    62   4.4   11    4  .364   88.3  .628 
Fred Toliver            MAR    sp  27   0   0  .000   0   0  .000     0   0.0    1    0  .000   26.5  .566 
Steve Trout*            FER    sp  30  11   0  .000   0   2  .182    39   3.5   16    6  .375   69.9  .593 
John Tudor*             BAR    sp  34  30   5  .167   1  18  .600    73   2.4   17   10  .588   84.2  .673 
Fernando Valenzuela*    NFG    sp  27  13   2  .154   1   2  .154    39   3.0   10    3  .300   70.8  .568 
Ed Vande Berg*          NEE    mr  29   6   0  .000   0   3  .500    29   4.8    3    0  .000   87.4  .637 
Frank Viola*            CTW    sp  28  34   3  .088   1  28  .824   146   4.3   21    8  .381  106.0  .662 
Bob Walk                CTW    sp  31  32   2  .063   0  24  .750   114   3.6   19    4  .211  101.9  .629 
Duane Ward              FER    mr  24   0   0  .000   0   0  .000     0   0.0   18    9  .500   24.2  .594 
Bill Wegman             CCC    sp  25  29   4  .138   0  20  .690   115   4.0   17    5  .294   98.9  .654 
Bob Welch               CIN    sp  31  27   1  .037   0  13  .481   110   4.1   21    6  .286   96.6  .634 
David Wells*            BAR    mr  25  17   0  .000   0   4  .235    60   3.5   12    4  .333   67.5  .612 
David West*             BMB    sp  23   0   0  .000   0   0  .000     0   0.0    4    3  .750   25.3  .546 
Ed Whitson              GBP    sp  33  28   2  .071   1  16  .571   102   3.6   26   14  .538   91.7  .639 
Bill Wilkinson*         NEE    mr  23   0   0  .000   0   0  .000     0   0.0    5    1  .200   21.4  .597 
Frank Williams          FHK    mr  30   0   0  .000   0   0  .000     0   0.0   20    8  .400   19.0  .576 
Mitch Williams*         NFG    cl  23   4   0  .000   0   0  .000    18   4.5   13    3  .231   32.5  .549 
Mark Williamson         BAR    mr  28  23   0  .000   0  10  .435    91   4.0   16    6  .375   86.4  .639 
Carl Willis             BAR    mr  27   3   0  .000   0   0  .000    20   6.7    4    3  .750   58.3  .600 
Steve Wilson*           BMB    mr  23   0   0  .000   0   0  .000     0   0.0    0    0  .000   42.3  .543 
Trevor Wilson*          NEE    sp  22   4   0  .000   0   2  .500    17   4.3    1    1 1.000   89.3  .591 
Bobby Witt              FER    sp  24  20   4  .200   0   6  .300    86   4.3   16    5  .313   92.9  .589 
Mike Witt               TEW    sp  27  27   8  .296   3  19  .704   111   4.1   19    5  .263  108.7  .629 
Todd Worrell            RYK    cl  28   0   0  .000   0   0  .000     0   0.0    2    0  .000   17.5  .655 
Floyd Youmans           EVN    sp  24   0   0  .000   0   0  .000     0   0.0   15    7  .467   18.8  .589 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age SVO   S   SV%  BS   BS% HLD  IR IRS   IR%   G  GR  GF  PCH/G  STR% 
Jim Acker               ES?    mr  29   3   3 1.000   0  .000   0  11   5  .455  24  24  11   26.0  .636 
Juan Agosto*            EVN    mr  30  14  11  .786   3  .214   2  24   7  .292  37  31  20   27.6  .633 
Rick Aguilera           GBP    mr  26   0   0  .000   0  .000   0   0   0  .000   4   0   0   84.5  .618 
Gibson Alba*            CTW    mr  28   1   1 1.000   0  .000   0   1   0  .000   4   4   2   18.8  .587 
Neil Allen              CCC    mr  30   2   1  .500   1  .500   0  10   4  .400  14  12   4   35.9  .665 
Jose Alvarez            MAR    mr  32   6   4  .667   1  .167   7  22   8  .364  35  35  17   21.3  .616 
Larry Andersen          GBP    mr  35   2   0  .000   2 1.000   6  33  21  .636  45  45  14   21.4  .678 
Allan Anderson*         CTW    sp  24   0   0  .000   0  .000   0   0   0  .000  13   0   0   96.9  .688 
Allan Anderson*         EVN    sp  24   0   0  .000   0  .000   0   0   0  .000   9   0   0   91.6  .699 
Allan Anderson*                sp  24   0   0  .000   0  .000   0   0   0  .000  22   0   0   94.7  .692 
Rick Anderson           NFG    sp  31   1   0  .000   1 1.000   2  11   3  .273  16  16   7   35.0  .670 
Joaquin Andujar         GBP    mr  35   0   0  .000   0  .000   2  21  14  .667  24  24  10   23.2  .655 
Luis Aquino             CCC    sp  24   0   0  .000   0  .000   1   7   2  .286  11   6   2   52.6  .575 
Jack Armstrong          NFG    sp  23   0   0  .000   0  .000   0   0   0  .000  11   1   0   83.2  .563 
Paul Assenmacher*       GBP    mr  27   2   0  .000   2 1.000   9  30   8  .267  45  45  11   24.4  .637 
Keith Atherton          CIN    mr  29   2   2 1.000   0  .000   0   0   0  .000   3   3   3   25.3  .671 
Don August              BBG    sp  24   5   1  .200   2  .400  13  35  11  .314  67  63  11   21.6  .627 
Scott Bailes*           TEW    sp  26   2   0  .000   2 1.000  13  35   6  .171  52  51  19   18.6  .617 
Doug Bair               EVN    mr  38   0   0  .000   0  .000   0   0   0  .000   2   0   0   92.5  .611 
Jeff Ballard*           BAR    sp  24   0   0  .000   0  .000   0   0   0  .000   3   0   0   84.3  .601 
Scott Bankhead          BBG    sp  24   0   0  .000   0  .000   0   1   0  .000  20   2   2   92.7  .668 
Floyd Bannister*        RYK    sp  33   0   0  .000   0  .000   0   0   0  .000  15   0   0   89.7  .637 
Jose Bautista           CTW    sp  23   0   0  .000   0  .000   0   0   0  .000   3   1   1   58.3  .657 
Steve Bedrosian         FHK    cl  30   9   3  .333   6  .667   7  27  13  .481  60  60  22   19.9  .640 
Tim Belcher             NEE    sp  26   0   0  .000   0  .000   0   0   0  .000  21   0   0  103.1  .652 
Juan Berenguer          CCC    mr  33   6   6 1.000   0  .000   4  34  13  .382  52  46  19   33.0  .582 
Mike Bielecki           NFG    mr  28   0   0  .000   0  .000   0   4   1  .250  14  10   5   47.4  .611 
Tim Birtsas*            NFG    mr  27   0   0  .000   0  .000   0   0   0  .000   4   0   0   77.3  .602 
Jeff Bittiger           RYK    mr  26   0   0  .000   0  .000   0  18   4  .222  27  27   5   33.2  .608 
Bud Black*              BAR    mr  31  12   8  .667   3  .250   6  19   9  .474  54  51  24   27.2  .621 
Bert Blyleven           NFG    sp  37   0   0  .000   0  .000   0   0   0  .000  30   2   2   81.6  .655 
Mike Boddicker          CIN    sp  30   0   0  .000   0  .000   0   0   0  .000  30   0   0   94.1  .638 
Joe Boever              CEN    mr  27   2   0  .000   0  .000   2  10   0  .000  15  15   8   15.4  .766 
Tom Bolton*             BMB    mr  26   3   1  .333   2  .667   5  20   9  .450  29  29  15   18.4  .632 
Greg Booker             RYK    mr  28   0   0  .000   0  .000   0  49  15  .306  39  39   7   27.7  .624 
Rich Bordi              BAR    sp  29   0   0  .000   0  .000   0   0   0  .000   2   0   0   82.5  .570 
Chris Bosio             SUN    sp  25   0   0  .000   0  .000   0   0   0  .000  26   0   0  102.1  .675 
Oil Can Boyd            GBP    sp  28   0   0  .000   0  .000   0   0   0  .000  20   0   0   89.4  .643 
Jeff Brantley           CCC    mr  24   1   0  .000   1 1.000   0  10   3  .300   9   9   2   33.9  .616 
Keith Brown             EVN    sp  24   1   1 1.000   0  .000   1   2   1  .500   9   9   5   17.1  .669 
Kevin Brown             FHK    sp  23   0   0  .000   0  .000   0   0   0  .000   5   0   0   84.0  .652 
Tom Browning*           EVN    sp  28   6   4  .667   1  .167   1   3   2  .667  41  14  11   66.4  .643 
Tim Burke               RYK    cl  29   3   2  .667   0  .000   0  24  13  .542  44  44  22   19.0  .665 
Todd Burns              CTW    sp  24   3   2  .667   1  .333   1  11   6  .545  32  23  10   52.2  .623 
Greg Cadaret*           FHK    mr  26   3   2  .667   1  .333   4  19   3  .158  40  38  11   27.4  .588 
John Candelaria*        SUN    sp  34   0   0  .000   0  .000   0   0   0  .000  18   0   0   96.7  .675 
Tom Candiotti           CIN    sp  30   0   0  .000   0  .000   1   9   4  .444  35  10   0   75.5  .650 
Don Carman*             CCC    sp  28   0   0  .000   0  .000   0   0   0  .000   6   0   0   81.0  .638 
Cris Carpenter          NEE    sp  23   6   2  .333   3  .500   0  15   3  .200  34  33  21   22.5  .692 
Chuck Cary*             NEE    mr  28   2   1  .500   1  .500   0   9   2  .222   8   8   3   21.0  .619 
Tony Castillo*          CTW    mr  25   1   1 1.000   0  .000   2   3   0  .000  13  13   8   14.5  .735 
John Cerutti*           MAR    mr  28   3   2  .667   1  .333  12  31   7  .226  59  54  18   26.7  .639 
Norm Charlton*          CIN    sp  25   4   1  .250   1  .250   3  28   7  .250  45  44  16   20.0  .639 
Jim Clancy              NEE    sp  32   2   2 1.000   0  .000   0   1   1 1.000   5   4   4   44.4  .640 
Mark Clear              TEW    mr  32   3   2  .667   1  .333   4  12   1  .083  27  27  14   21.4  .607 
Roger Clemens           NFG    sp  25   0   0  .000   0  .000   1   0   0  .000  30   1   0   97.8  .663 
Stew Cliburn            BAR    mr  31   0   0  .000   0  .000   0   0   0  .000   1   0   0   68.0  .647 
Keith Comstock*         BAR    mr  32   0   0  .000   0  .000   0   0   0  .000   2   0   0   92.5  .605 
David Cone              SUN    sp  25   0   0  .000   0  .000   0   0   0  .000  27   0   0  106.7  .614 
Dennis Cook*            FHK    sp  25   1   1 1.000   0  .000   1   2   2 1.000   7   4   2   49.9  .628 
Sherman Corbett*        BMB    mr  25   2   0  .000   2 1.000   4  16   6  .375  31  31  11   22.6  .597 
Jim Corsi               ES?    mr  26   2   1  .500   1  .500   1  12   3  .250  15  15   9   18.7  .673 
John Costello           EVN    mr  27   0   0  .000   0  .000   6  17   7  .412  23  18   6   37.7  .583 
Danny Cox               NEE    sp  28   4   1  .250   0  .000   2  41  16  .390  61  60  19   21.5  .641 
Tim Crews               GBP    mr  27   8   3  .375   5  .625   2  35   9  .257  48  48  17   22.0  .682 
Chuck Crim              MAR    mr  26   5   4  .800   0  .000   4  32   4  .125  53  51  14   22.9  .632 
Ron Darling             FHK    sp  27   0   0  .000   0  .000   0   0   0  .000  31   0   0   99.9  .638 
Danny Darwin            NEE    mr  32   0   0  .000   0  .000   0   3   1  .333  26   1   0   91.2  .654 
Mark Davis*             CEN    cl  27   4   4 1.000   0  .000   9  16   3  .188  43  38  15   32.0  .623 
Ron Davis               CIN    mr  32   0   0  .000   0  .000   0   0   0  .000   1   1   1   13.0  .769 
Storm Davis             RYK    sp  26   0   0  .000   0  .000   0   0   0  .000  32   0   0   81.8  .616 
Ken Dayley*             EVN    mr  29   1   0  .000   1 1.000   3  27   6  .222  41  41  16   19.3  .654 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age SVO   S   SV%  BS   BS% HLD  IR IRS   IR%   G  GR  GF  PCH/G  STR% 
Jose DeJesus            CEN    sp  23   0   0  .000   0  .000   0   0   0  .000   1   0   0  106.0  .509 
Jose DeLeon             ES?    sp  27   0   0  .000   0  .000   0   0   0  .000  35   0   0   95.2  .608 
Jim Deshaies*           FHK    sp  28   0   0  .000   0  .000   0   0   0  .000  32   0   0   96.1  .651 
Rob Dibble              ES?    mr  24  19  13  .684   4  .211   5  29  15  .517  46  46  26   20.2  .641 
Frank DiPino*           NFG    mr  31   3   3 1.000   0  .000   1  19   5  .263  44  44  19   23.8  .632 
John Dopson             FER    sp  24   0   0  .000   0  .000   0   1   1 1.000  24   5   4   78.3  .604 
Rich Dotson             GBP    sp  29   0   0  .000   0  .000   0   0   0  .000   6   0   0  100.8  .613 
Kelly Downs             FHK    sp  27   0   0  .000   0  .000   0   7   2  .286  33   7   2   79.8  .645 
Doug Drabek             TEW    sp  25   0   0  .000   0  .000   0   0   0  .000  33   0   0   95.6  .647 
Dave Dravecky*          FHK    sp  32   3   3 1.000   0  .000   1  19   6  .316  29  29  15   18.5  .700 
Mike Dunne              BMB    sp  25   3   1  .333   2  .667   2  34  17  .500  35  35   7   24.8  .562 
Gary Eave               BBG    mr  24   0   0  .000   0  .000   0   1   1 1.000   3   3   0   30.7  .543 
Dennis Eckersley        NFG    cl  33   4   3  .750   1  .250   7  21   7  .333  39  39  18   18.4  .709 
Juan Eichelberger       RYK    mr  34   0   0  .000   0  .000   1  18   9  .500  19  19   5   29.2  .623 
Mark Eichhorn           CCC    mr  27  11   8  .727   3  .273   2  37  10  .270  48  48  19   21.9  .637 
Steve Farr              GBP    cl  31   1   1 1.000   0  .000   1   6   1  .167  16   8   3   61.2  .667 
John Farrell            NFG    sp  25   0   0  .000   0  .000   1  15   3  .200  40  21   4   60.1  .629 
Sid Fernandez*          CIN    sp  25   0   0  .000   0  .000   0   0   0  .000  30   1   0   98.4  .614 
Chuck Finley*           NEE    sp  25   0   0  .000   0  .000   0   0   0  .000  33   1   1   98.7  .626 
Mike Flanagan*          CCC    sp  36   0   0  .000   0  .000   0   0   0  .000  30   0   0   84.1  .639 
Tony Fossas*            BAR    mr  30   0   0  .000   0  .000   0   0   0  .000   2   0   0   76.5  .686 
John Franco*            SUN    cl  27  36  30  .833   6  .167   0  37   5  .135  59  59  47   19.5  .657 
Willie Fraser           BMB    sp  24   0   0  .000   0  .000   0   0   0  .000  31   2   2   93.3  .626 
Marvin Freeman          BMB    sp  25   0   0  .000   0  .000   0   0   0  .000  11   0   0   92.1  .556 
Todd Frohwirth          BAR    mr  25   0   0  .000   0  .000   0   0   0  .000   4   0   0   55.5  .532 
Gene Garber             TEW    cl  40   1   1 1.000   0  .000   2  10   4  .400  22  22  14   21.2  .649 
Wes Gardner             CEN    sp  27   0   0  .000   0  .000   0   0   0  .000  16   2   2   82.3  .610 
Scott Garrelts          BBG    mr  26   2   0  .000   1  .500   8  16   4  .250  47  43  11   26.0  .622 
Paul Gibson*            BAR    mr  28   6   4  .667   2  .333   0  32  11  .344  46  46  18   24.5  .637 
Tom Glavine*            CCC    sp  22   0   0  .000   0  .000   0   8   3  .375  35   9   1   78.0  .636 
Jerry Gleaton*          FER    mr  30   4   2  .500   1  .250   3  13   4  .308  28  28   7   20.0  .613 
German Gonzalez         TEW    mr  26   0   0  .000   0  .000   0   0   0  .000   1   1   1   12.0  .667 
Dwight Gooden           FHK    sp  23   0   0  .000   0  .000   0   0   0  .000  33   0   0  100.8  .660 
Don Gordon              NEE    mr  28   3   2  .667   1  .333   0  12   7  .583  17  17   8   21.7  .621 
Tom Gordon              FER    mr  20   0   0  .000   0  .000   0   0   0  .000   2   0   0   92.0  .636 
Goose Gossage           BMB    cl  36   2   2 1.000   0  .000   1  23   8  .348  35  35  11   20.7  .646 
Jim Gott                BMB    cl  28  26  16  .615  10  .385   1  34  15  .441  55  55  41   20.3  .628 
Jeff Gray               BMB    mr  25   0   0  .000   0  .000   0   7   3  .429   5   5   0   34.8  .684 
Kevin Gross             TEW    sp  27   0   0  .000   0  .000   0   0   0  .000  16   0   0  104.6  .607 
Cecilio Guante          CIN    mr  28   5   1  .200   2  .400   2  21   8  .381  45  44  16   20.2  .674 
Mark Gubicza            BBG    sp  25   0   0  .000   0  .000   0   0   0  .000  34   0   0  103.5  .636 
Lee Guetterman*         BMB    mr  29   0   0  .000   0  .000   0   3   1  .333  11   6   2   62.5  .631 
Ron Guidry*             CIN    sp  37   4   4 1.000   0  .000   0   6   3  .500  18  17  12   27.2  .684 
Jose Guzman             FER    sp  25   2   1  .500   1  .500   0  12   4  .333  46  28  11   54.6  .606 
John Habyan             CCC    mr  24   1   1 1.000   0  .000   1  11   3  .273  11  11   3   24.0  .625 
Drew Hall*              FER    mr  25   2   2 1.000   0  .000   5  16   7  .438  21  21   8   18.1  .637 
Atlee Hammaker*         BAR    mr  30   0   0  .000   0  .000   0   0   0  .000  19   0   0   84.6  .642 
Erik Hanson             NEE    sp  23   0   0  .000   0  .000   0   0   0  .000   6   0   0  113.0  .627 
Mike Harkey             GBP    sp  21   0   0  .000   0  .000   0   0   0  .000   5   0   0   99.4  .596 
Pete Harnisch           CCC    sp  21   1   1 1.000   0  .000   0   6   0  .000  10  10   8   16.2  .580 
Greg Harris             MAR    mr  32   6   2  .333   4  .667  15  29  11  .379  70  68  21   21.6  .592 
Greg W. Harris          FHK    mr  24   2   2 1.000   0  .000   1   7   0  .000  14  14  10   19.5  .663 
Bryan Harvey            TEW    cl  25  49  40  .816   9  .184   1  34   5  .147  66  66  57   16.9  .664 
Andy Hawkins            SUN    sp  28   0   0  .000   0  .000   0   0   0  .000  10   0   0  106.2  .612 
Neal Heaton*            FER    mr  28   1   1 1.000   0  .000   0   3   0  .000  24   9   6   65.4  .615 
Don Heinkel             BAR    mr  28   5   3  .600   2  .400   2  11   2  .182  29  29  15   19.3  .664 
Tom Henke               SUN    cl  30   5   3  .600   2  .400   1  20   8  .400  46  46  23   22.6  .639 
Mike Henneman           CTW    cl  26   7   3  .429   4  .571  11  49  16  .327  71  71  35   19.2  .665 
Dwayne Henry            CCC    mr  26   3   2  .667   1  .333   0   6   1  .167  12  12   6   17.7  .552 
Willie Hernandez*       FHK    mr  33   0   0  .000   0  .000   0  15   4  .267  28  28  11   23.5  .608 
Orel Hershiser          BBG    sp  29   0   0  .000   0  .000   0   0   0  .000  34   0   0  115.7  .640 
Joe Hesketh*            CIN    mr  29   1   1 1.000   0  .000   2   1   0  .000  10  10   2   18.9  .651 
Teddy Higuera*          CIN    sp  29   0   0  .000   0  .000   0   0   0  .000  32   0   0  101.7  .669 
Ken Hill                BMB    mr  22   0   0  .000   0  .000   0   0   0  .000   4   0   0   70.0  .546 
Shawn Hillegas          RYK    sp  23   0   0  .000   0  .000   0   0   0  .000  17   0   0   87.9  .617 
Brian Holman            FHK    sp  23   0   0  .000   0  .000   1  18   4  .222  37  31   9   34.2  .648 
Brian Holton            BBG    mr  28  30  22  .733   8  .267   3  34  10  .294  70  70  58   17.7  .649 
Rick Honeycutt*         EVN    mr  34   6   2  .333   2  .333   9  20   8  .400  44  40  13   24.2  .604 
Ricky Horton*           GBP    mr  28   1   0  .000   1 1.000   2   3   1  .333  14  14   4   24.1  .648 
Charlie Hough           CTW    sp  40   1   1 1.000   0  .000   0   5   2  .400  31  10   7   80.9  .595 
Jay Howell              MAR    cl  32  19  14  .737   5  .263   0  15   6  .400  34  34  26   19.1  .625 
Jay Howell              FER    cl  32   6   5  .833   1  .167   0   8   4  .500  19  19  14   22.1  .607 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age SVO   S   SV%  BS   BS% HLD  IR IRS   IR%   G  GR  GF  PCH/G  STR% 
Jay Howell                     cl  32  25  19  .760   6  .240   0  23  10  .435  53  53  40   20.2  .618 
Ken Howell              ES?    mr  27   2   0  .000   2 1.000   0   6   2  .333  11  11   7   19.4  .657 
Mark Huismann           BAR    mr  30   1   1 1.000   0  .000   0   0   0  .000   2   1   1   60.5  .545 
Bruce Hurst*            MAR    sp  30   0   0  .000   0  .000   0   0   0  .000  35   0   0  101.0  .655 
Jeff Innis              SUN    mr  25   0   0  .000   0  .000   0   9   1  .111  13  13   5   23.6  .681 
Danny Jackson*          CEN    sp  26   0   0  .000   0  .000   0   0   0  .000  35   0   0  109.1  .628 
Mike Jackson            CIN    mr  23   3   0  .000   0  .000   5  43  11  .256  68  68  19   21.6  .624 
Mike Jeffcoat*          NEE    mr  28   0   0  .000   0  .000   0   0   0  .000   2   0   0   90.5  .718 
German Jimenez*         NEE    sp  25   0   0  .000   0  .000   0   0   0  .000   2   0   0   87.0  .667 
Tommy John*             FER    sp  45   6   6 1.000   0  .000   1  17   6  .353  35  35  18   22.3  .649 
Randy Johnson*          BMB    sp  24   0   0  .000   0  .000   0   0   0  .000   4   0   0  107.5  .663 
Barry Jones             GBP    mr  25   5   4  .800   1  .200  11  20   7  .350  58  58  34   19.7  .638 
Doug Jones              FHK    cl  31  36  31  .861   5  .139   0  31   9  .290  62  62  45   18.7  .660 
Jimmy Jones             RYK    sp  24   0   0  .000   0  .000   0   0   0  .000  31   0   0   83.6  .637 
Odell Jones             BBG    mr  35   0   0  .000   0  .000   0   5   2  .400   7   6   5   28.6  .610 
Jimmy Key*              NEE    sp  27   0   0  .000   0  .000   0   0   0  .000  20   0   0   98.1  .665 
Paul Kilgus*            FER    sp  26   0   0  .000   0  .000   0   0   0  .000  13   0   0   88.4  .647 
Eric King               BAR    mr  24   0   0  .000   0  .000   2  19   7  .368  31  24   8   40.5  .592 
Bob Kipper*             ES?    mr  23   1   0  .000   1 1.000   9  22  10  .455  47  47  20   18.9  .629 
Bob Knepper*            MAR    sp  34   1   1 1.000   0  .000   0   0   0  .000  16   2   1   78.8  .623 
Mark Knudson            FER    mr  27   0   0  .000   0  .000   1   8   2  .250   7   7   0   21.7  .684 
Bill Krueger*           CCC    sp  30   2   1  .500   1  .500   0   2   0  .000   5   5   4    9.4  .553 
Mike Krukow             EVN    sp  36   0   0  .000   0  .000   0   0   0  .000  10   0   0   92.5  .658 
Mike LaCoss             GBP    sp  32   0   0  .000   0  .000   0   0   0  .000  14   0   0   94.4  .599 
Dennis Lamp             ES?    mr  35   4   2  .500   1  .250   6  23  11  .478  46  46  18   23.6  .676 
Lester Lancaster        ES?    mr  26   0   0  .000   0  .000   0  26  13  .500  36  36   9   26.6  .624 
Bill Landrum            ES?    mr  30   1   1 1.000   0  .000   3   8   6  .750  10  10   2   20.5  .663 
Mark Langston*          ES?    sp  27   0   0  .000   0  .000   0   0   0  .000  35   0   0  110.6  .622 
Dave LaPoint*           CTW    sp  28   0   0  .000   0  .000   0   0   0  .000  33   1   1   93.2  .652 
Bill Laskey             NEE    mr  30   0   0  .000   0  .000   3  10   6  .600  18  18   4   21.1  .629 
Charlie Lea             CCC    sp  31   3   1  .333   2  .667   0   2   1  .500  17  11   3   46.9  .630 
Terry Leach             SUN    mr  34   6   4  .667   2  .333   3  29  12  .414  44  44  15   25.0  .637 
Tim Leary               CCC    sp  29   0   0  .000   0  .000   0   1   0  .000   2   1   1   60.5  .612 
Tim Leary               CIN    sp  29   0   0  .000   0  .000   0   1   0  .000  10   1   1   85.3  .651 
Tim Leary                      sp  29   0   0  .000   0  .000   0   2   0  .000  12   2   2   81.2  .646 
Mark Lee*               GBP    mr  23   0   0  .000   0  .000   1   4   1  .250   5   5   3   13.2  .682 
Craig Lefferts*         BBG    mr  30   3   3 1.000   0  .000  11  14   1  .071  52  50  22   21.1  .658 
Charlie Leibrandt*      GBP    sp  31   0   0  .000   0  .000   0   0   0  .000  33   0   0   93.7  .657 
Dave Leiper*            BAR    mr  26  12   8  .667   3  .250   7  16   7  .438  45  45  21   18.0  .642 
Al Leiter*              SUN    sp  22   1   0  .000   1 1.000   1   0   0  .000  12   4   1   72.5  .603 
Bill Long               FER    mr  28   1   1 1.000   0  .000   1   6   2  .333  23   6   2   68.6  .628 
Greg Maddux             BMB    sp  22   0   0  .000   0  .000   0   0   0  .000  33   0   0  101.2  .633 
Mike Maddux             CCC    mr  26   4   2  .500   0  .000   4  32  12  .375  48  48  23   25.4  .630 
Alex Madrid             SUN    mr  25   0   0  .000   0  .000   1  12   5  .417  13  13   5   19.1  .621 
Joe Magrane*            CTW    sp  23   0   0  .000   0  .000   3  15   2  .133  32  19   7   52.7  .618 
Joe Magrane*            EVN    sp  23   1   0  .000   1 1.000   0  14   6  .429  18  14   2   41.7  .607 
Joe Magrane*                   sp  23   1   0  .000   1 1.000   3  29   8  .276  50  33   9   48.7  .615 
Rick Mahler             RYK    sp  34   0   0  .000   0  .000   0   0   0  .000  33   0   0   88.6  .680 
Dennis Martinez         NEE    sp  33   0   0  .000   0  .000   0   0   0  .000  32   0   0   91.8  .636 
Ramon Martinez          SUN    sp  20   0   0  .000   0  .000   0   0   0  .000   7   0   0   92.7  .570 
Greg Mathews*           RYK    sp  26   0   0  .000   0  .000   0  28   9  .321  32  32   8   24.3  .602 
Tom McCarthy            CEN    mr  27   1   1 1.000   0  .000   4   8   2  .250  11  11   3   19.1  .643 
Kirk McCaskill          MAR    sp  27   0   0  .000   0  .000   1  14   7  .500  26  22   8   30.0  .613 
Kirk McCaskill          ES?    sp  27   0   0  .000   0  .000   0   0   0  .000  12   0   0  101.7  .623 
Kirk McCaskill                 sp  27   0   0  .000   0  .000   1  14   7  .500  38  22   8   52.6  .619 
Bob McClure*            ES?    mr  36   4   1  .250   2  .500   1   2   0  .000  22  22   7   17.4  .629 
Lance McCullers         MAR    mr  24  15  11  .733   4  .267   2  19  11  .579  42  30  22   42.1  .556 
Jack McDowell           ES?    sp  22   0   0  .000   0  .000   0   0   0  .000  21   0   0   97.4  .606 
Roger McDowell          RYK    cl  27   3   0  .000   2  .667   6  27  10  .370  51  51  31   17.6  .615 
Andy McGaffigan         GBP    mr  31   2   0  .000   1  .500   3   9   4  .444  27  18   4   46.4  .591 
Craig McMurtry          CEN    mr  28  32  27  .844   5  .156   8  19   2  .105  51  51  40   18.2  .620 
Larry McWilliams*       FER    mr  34   3   2  .667   1  .333   2  17   6  .353  22  21   8   24.1  .640 
Dave Meads*             SUN    mr  24   1   1 1.000   0  .000  10  17   6  .353  36  36  18   18.3  .624 
Scott Medvin            BAR    mr  26   3   2  .667   1  .333   0   4   1  .250  13  13   6   18.7  .671 
Brian Meyer             GBP    mr  25   0   0  .000   0  .000   2   6   1  .167   9   9   7   16.9  .566 
Bob Milacki             SUN    sp  23   0   0  .000   0  .000   0   0   0  .000   4   0   0  119.8  .576 
Greg Minton             CEN    mr  36   5   3  .600   2  .400   6  18   3  .167  37  32  14   34.2  .630 
Paul Mirabella*         CEN    mr  34  22  18  .818   4  .182   3  24   5  .208  47  47  32   19.1  .633 
Dale Mohorcic           NEE    mr  32   0   0  .000   0  .000   0   0   0  .000   7   0   0   73.6  .625 
Rich Monteleone         FHK    mr  25   0   0  .000   0  .000   0   7   3  .429   4   4   2   17.8  .690 
Jeff Montgomery         BAR    mr  26   2   0  .000   2 1.000   8  31  14  .452  49  49  13   20.3  .619 
Brad Moore              CTW    mr  24   0   0  .000   0  .000   1   0   0  .000   3   3   1   23.3  .529 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age SVO   S   SV%  BS   BS% HLD  IR IRS   IR%   G  GR  GF  PCH/G  STR% 
Mike Moore              CEN    sp  28   0   0  .000   0  .000   0   0   0  .000  32   0   0  111.1  .656 
Mike Morgan             ES?    mr  28   0   0  .000   0  .000   0   5   3  .600  15   7   2   58.3  .612 
Jack Morris             TEW    sp  33   0   0  .000   0  .000   0   0   0  .000  33   0   0  100.5  .644 
Jamie Moyer*            BAR    sp  25   0   0  .000   0  .000   0   1   0  .000  37   1   1   86.5  .652 
Terry Mulholland*       CCC    sp  25  13   8  .615   3  .231   7  22  11  .500  43  43  23   15.2  .669 
Rob Murphy*             BBG    mr  28  12   9  .750   1  .083   3  19   5  .263  38  38  18   14.7  .586 
Jeff Musselman*         BAR    sp  25   0   0  .000   0  .000   0   2   1  .500  12   4   3   64.9  .646 
Randy Myers*            CIN    cl  25  25  21  .840   4  .160   4  32   9  .281  56  56  38   19.2  .642 
Gene Nelson             CEN    mr  27   0   0  .000   0  .000   0   7   1  .143  26  15   6   54.2  .629 
Rod Nichols             NEE    sp  23  11   4  .364   5  .455   6  29  10  .345  55  55  25   20.5  .622 
Juan Nieves*            CEN    sp  23   0   0  .000   0  .000   0   1   0  .000   9   3   2   70.9  .639 
Al Nipper               SUN    sp  29   0   0  .000   0  .000   0   3   0  .000  11   7   2   45.0  .614 
Ed Nunez                GBP    mr  25   0   0  .000   0  .000   0   0   0  .000   8   2   0   81.1  .612 
Jose Nunez              ES?    mr  24   2   1  .500   0  .000   0   3   2  .667   4   4   3   14.0  .714 
Randy O'Neal            RYK    sp  27   2   1  .500   1  .500   9  19   4  .211  40  40  15   18.0  .664 
