                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/18/1999  FDH     Politte             Promoted to active roster                          Before   
9/18/1999  FDH     Rodriguez,Fe        Promoted to active roster                          Before   
9/18/1999  FER     Biggio              Promoted to active roster                          Before   
9/17/1999  BAR     Daneker             Promoted to active roster                          Before   
9/17/1999  BAR     Jones,J             Demoted to reserve roster                          Before   
9/17/1999  BAR     Schilling           Demoted to reserve roster                          Before   
9/17/1999  BAR     Williams,J          Promoted to active roster                          Before   
9/17/1999  GAR     Paniagua            Demoted to reserve roster                          Before   
9/17/1999  NNN     Davis,D             Demoted to reserve roster                          Before   
9/17/1999  OKO     Worrell             Demoted to reserve roster                          Before   
9/15/1999  BAR     Smoltz              Demoted to reserve roster                          Before   
9/15/1999  BBG     Posada              Demoted to reserve roster                          Before   
9/15/1999  OKO     DeJean              Demoted to reserve roster                          Before   
9/15/1999  RMO     Knorr               Signed                                             Before   
9/15/1999  TEW     Mayne               Demoted to reserve roster                          Before   
9/14/1999  CIN     Gagne               Promoted to active roster                          Before   
9/14/1999  CIN     Ryan,BJ             Demoted to reserve roster                          Before   
9/14/1999  FDH     Arrojo              Demoted to reserve roster                          Before   
9/14/1999  FDH     Kline               Promoted to active roster                          Before   
9/14/1999  FDH     Manzanillo          Demoted to reserve roster                          Before   
9/14/1999  NEP     Acevedo             Promoted to active roster                          Before   
9/14/1999  NEP     Finley,C            Demoted to reserve roster                          Before   
9/14/1999  NEP     Quinn               Demoted to reserve roster                          Before   
9/14/1999  NEP     Spencer,Sh          Promoted to active roster                          Before   
9/14/1999  TEW     Wall                Demoted to reserve roster                          Before   
9/13/1999  CEN     Anderson,Mar        Promoted to active roster                          Before   
9/13/1999  CEN     Bush                Promoted to active roster                          Before   
9/13/1999  CEN     Frye                Promoted to active roster                          Before   
9/13/1999  CEN     Guzman,J            Promoted to active roster                          Before   
9/13/1999  CEN     Magadan             Promoted to active roster                          Before   
9/13/1999  CEN     Moehler             Promoted to active roster                          Before   
9/13/1999  CEN     Myers,G             Promoted to active roster                          Before   
9/13/1999  CEN     Wells,B             Promoted to active roster                          Before   
9/13/1999  CEN     White,G             Promoted to active roster                          Before   
9/13/1999  EVN     Boggs               Promoted to active roster                          Before   
9/13/1999  EVN     Lawton              Activated from disabled list                       Before   
9/13/1999  EVN     Prince              Demoted to reserve roster                          Before   
9/13/1999  GAR     DaVanon             Demoted to reserve roster                          Before   
9/13/1999  TEW     Lidle               Demoted to reserve roster                          Before   
9/12/1999  CEN     Mahomes             Demoted to reserve roster                          Before   
9/12/1999  DLM     Aguilera            Promoted to active roster                          Before   
9/12/1999  DLM     Aldred              Promoted to active roster                          Before   
9/12/1999  DLM     Borders             Promoted to active roster                          Before   
9/12/1999  DLM     Brosius             Demoted to reserve roster                          Before   
                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/12/1999  DLM     Cancel              Promoted to active roster                          Before   
9/12/1999  DLM     Cedeno,D            Promoted to active roster                          Before   
9/12/1999  DLM     Curtis              Promoted to active roster                          Before   
9/12/1999  DLM     Gates               Promoted to active roster                          Before   
9/12/1999  DLM     Johnson,L           Promoted to active roster                          Before   
9/12/1999  DLM     Jordan,K            Promoted to active roster                          Before   
9/12/1999  DLM     Martinez,D          Promoted to active roster                          Before   
9/12/1999  DLM     Molina,J            Promoted to active roster                          Before   
9/12/1999  DLM     Rivera,Ru           Promoted to active roster                          Before   
9/12/1999  DLM     Simms               Promoted to active roster                          Before   
9/12/1999  DLM     Spoljaric           Promoted to active roster                          Before   
9/12/1999  DLM     Spradlin            Promoted to active roster                          Before   
9/12/1999  NNN     Davis,D             Promoted to active roster                          Before   
9/12/1999  NNN     Halladay            Demoted to reserve roster                          Before   
9/12/1999  OKO     Edmonds             Demoted to reserve roster                          Before   
9/12/1999  RMO     Anderson,Mat        Demoted to reserve roster                          Before   
9/12/1999  RMO     Carpenter           Promoted to active roster                          Before   
9/12/1999  RMO     Colon               Promoted to active roster                          Before   
9/12/1999  RMO     Eyre                Demoted to reserve roster                          Before   
9/12/1999  RMO     Fox,C               Promoted to active roster                          Before   
9/12/1999  RMO     Koch                Promoted to active roster                          Before   
9/12/1999  RMO     Osborne             Demoted to reserve roster                          Before   
9/12/1999  RMO     Plunk               Demoted to reserve roster                          Before   
9/12/1999  RMO     Strickland          Promoted to active roster                          Before   
9/12/1999  RMO     Vizcaino,J          Promoted to active roster                          Before   
9/12/1999  RMO     Williamson          Promoted to active roster                          Before   
9/12/1999  TAR     Powell,Ja           Demoted to reserve roster                          Before   
9/11/1999  BAR     Catalanotto         Promoted to active roster                          Before   
9/11/1999  BAR     Lloyd               Demoted to reserve roster                          Before   
9/11/1999  BAR     Meares              Demoted to reserve roster                          Before   
9/11/1999  BBG     Hoffman             Demoted to reserve roster                          Before   
